python train.py --epochs 300
--- Training miap_max_ranking_L3_H129 on cuda ---
Loading dataset_train into memory...
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4427/4427 [00:06<00:00, 642.59it/s]
Loading dataset_val into memory...
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 886/886 [00:01<00:00, 832.15it/s]
/home/schterben/miniconda3/envs/miap_gasse/lib/python3.10/site-packages/torch_geometric/utils/_scatter.py:91: UserWarning: The usage of `scatter(reduce='max')` can be accelerated via the 'torch-scatter' package, but it was not found
  warnings.warn(
Ep 39 | T_Loss: 0.0655 T_Acc@1: 0.1226 T_Acc@5: 0.4994 | V_Loss: 0.0648 V_Acc@1: 0.1182 V_Acc@5: 0.5004 | LR: 1.0e-03
Ep 40 | T_Loss: 0.0647 T_Acc@1: 0.1239 T_Acc@5: 0.5050 | V_Loss: 0.0651 V_Acc@1: 0.1189 V_Acc@5: 0.4993 | LR: 1.0e-03
Ep 41 | T_Loss: 0.0654 T_Acc@1: 0.1205 T_Acc@5: 0.4998 | V_Loss: 0.0642 V_Acc@1: 0.1283 V_Acc@5: 0.5149 | LR: 1.0e-03
Ep 42 | T_Loss: 0.0653 T_Acc@1: 0.1220 T_Acc@5: 0.5051 | V_Loss: 0.0636 V_Acc@1: 0.1445 V_Acc@5: 0.5136 | LR: 1.0e-03
Ep 43 | T_Loss: 0.0644 T_Acc@1: 0.1283 T_Acc@5: 0.5066 | V_Loss: 0.0640 V_Acc@1: 0.1296 V_Acc@5: 0.5231 | LR: 1.0e-03
Ep 44 | T_Loss: 0.0648 T_Acc@1: 0.1314 T_Acc@5: 0.5047 | V_Loss: 0.0649 V_Acc@1: 0.1153 V_Acc@5: 0.4937 | LR: 1.0e-03
Ep 45 | T_Loss: 0.0649 T_Acc@1: 0.1238 T_Acc@5: 0.5081 | V_Loss: 0.0652 V_Acc@1: 0.1200 V_Acc@5: 0.4942 | LR: 1.0e-03
Ep 46 | T_Loss: 0.0649 T_Acc@1: 0.1256 T_Acc@5: 0.5040 | V_Loss: 0.0646 V_Acc@1: 0.1253 V_Acc@5: 0.4966 | LR: 1.0e-03
Ep 47 | T_Loss: 0.0643 T_Acc@1: 0.1300 T_Acc@5: 0.5098 | V_Loss: 0.0644 V_Acc@1: 0.1454 V_Acc@5: 0.5038 | LR: 1.0e-03
Ep 48 | T_Loss: 0.0643 T_Acc@1: 0.1230 T_Acc@5: 0.5154 | V_Loss: 0.0638 V_Acc@1: 0.1305 V_Acc@5: 0.5138 | LR: 1.0e-03
